data_type,budgets,accuracy,accuracy_std,runtime,naive_budget
NORMAL_CUSTOM,523216.3333333333,0.9666666666666667,0.013608276348795433,1.3904056549072266,10000000
NORMAL_CUSTOM,508193.3333333333,0.9666666666666667,0.013608276348795433,1.363548994064331,10000000
NORMAL_CUSTOM,493080.3333333333,0.9600000000000001,0.014605934866804428,1.2898690700531006,10000000
NORMAL_CUSTOM,2203741.6666666665,0.9600000000000001,0.014605934866804428,2.0845553874969482,10000000
NORMAL_CUSTOM,3025213.6666666665,0.9600000000000001,0.014605934866804428,2.452446460723877,10000000
NORMAL_CUSTOM,3531611.0,0.9666666666666667,0.013608276348795433,2.5581283569335938,10000000
NORMAL_CUSTOM,4019564.6666666665,0.9600000000000001,0.014605934866804428,2.564180850982666,10000000
NORMAL_CUSTOM,4231483.0,0.9533333333333334,0.015444044759016933,2.568100929260254,10000000
NORMAL_CUSTOM,4312065.666666667,0.9466666666666668,0.016147468555186617,2.5451982021331787,10000000
NORMAL_CUSTOM,4363019.333333333,0.9466666666666668,0.016147468555186617,2.6818320751190186,10000000
NORMAL_CUSTOM,4354502.333333333,0.9600000000000001,0.014605934866804424,2.8553671836853027,10000000
NORMAL_CUSTOM,4458292.0,0.9533333333333334,0.015444044759016933,3.18349289894104,10000000
NORMAL_CUSTOM,4385241.0,0.9400000000000001,0.01673320053068151,3.5006439685821533,10000000
NORMAL_CUSTOM,4256055.666666667,0.9000000000000001,0.024494897427831782,4.0392374992370605,10000000
NORMAL_CUSTOM,3652946.0,0.6800000000000002,0.04862555341016125,4.161837816238403,10000000
NORMAL_CUSTOM,3214954.0,0.7266666666666669,0.03461962620419981,3.2762444019317627,10000000
NORMAL_CUSTOM,1969857.6666666667,0.56,0.03183289703016886,2.5222251415252686,10000000
NORMAL_CUSTOM,1083646.0,0.44666666666666666,0.04287794909412668,2.0465314388275146,10000000
NORMAL_CUSTOM,0.0,0.0,0.0,1.0043139457702637,10000000
NORMAL_CUSTOM,0.0,0.0,0.0,1.0252611637115479,10000000
NORMAL_CUSTOM,0.0,0.0,0.0,1.0212702751159668,10000000
NORMAL_CUSTOM,0.0,0.0,0.0,1.0222673416137695,10000000
NORMAL_CUSTOM,0.0,0.0,0.0,1.041215419769287,10000000
NORMAL_CUSTOM,0.0,0.0,0.0,1.0412170886993408,10000000
