num_atoms,budgets,budgets_std,accuracy,runtime
100,11690.0,2037.9038250123579,1.0,0.002193784713745117
5357,299136.0,29797.81267811448,1.0,0.06971328258514405
10615,599444.0,65273.01911509839,1.0,0.13884220123291016
15873,832398.0,75648.13054927398,1.0,0.20685341358184814
21131,1162995.0,121975.31798892758,1.0,0.2767375707626343
26389,1378521.0,162468.62732509314,1.0,0.3290388584136963
31647,1642462.0,157512.17661374627,1.0,0.3925688028335571
36905,1856752.0,185452.2192253304,1.0,0.44896132946014405
42163,2205755.0,262654.4511606457,1.0,0.5372981071472168
47421,2451470.0,287573.70384650957,1.0,0.5137389421463012
52678,2659547.0,262246.84463325766,1.0,0.5396981000900268
57936,2822112.0,345668.5533681072,1.0,0.5857936620712281
63194,3073822.0,343140.5710603163,1.0,0.62184157371521
68452,3274052.0,375368.33069080295,1.0,0.6588472604751587
73710,3718820.0,438616.90487713757,1.0,0.8009855031967164
78968,3969873.0,403237.70831867895,1.0,0.9118937492370606
84226,4140940.0,473442.26503978285,1.0,0.898809552192688
89484,4376443.0,497402.8667710913,1.0,1.0790659427642821
94742,4570517.0,525897.5081402268,1.0,1.151963210105896
100000,4833439.0,555424.2774446396,1.0,1.0633778333663941
