num_atoms,budgets,budgets_std,accuracy,runtime
100,1167.0,181.01961219713183,1.0,0.002290225028991699
5357,2374.0,239.11168938385256,1.0,0.11638896465301514
10615,1979.0,355.69776496345884,1.0,0.2219170331954956
15873,1808.0,293.4137011115875,1.0,0.2937216520309448
21131,3591.0,576.7294859810793,1.0,0.3925602912902832
26389,3514.0,953.3249183777795,1.0,0.4779406785964966
31647,4349.0,877.2678610321934,1.0,0.5983103036880493
36905,4345.0,1076.3171001150172,1.0,0.742723822593689
42163,8873.0,1453.3857368228162,1.0,0.7997693538665771
47421,8982.0,1454.813252620418,1.0,0.946357011795044
52678,9774.0,1418.705184314204,1.0,0.9643561601638794
57936,6168.0,1358.8788025427432,1.0,1.080491018295288
63194,6135.0,1525.3427483683788,1.0,1.1724709033966065
68452,6104.0,1470.4660485709965,1.0,1.3162516832351685
73710,5893.0,1668.8043923719758,1.0,1.4528843879699707
78968,3745.0,1036.5773005425115,1.0,1.4586421966552734
84226,8383.0,1877.8061934076159,1.0,1.6915725469589233
89484,6153.0,1642.694158996129,1.0,1.837072229385376
94742,5792.0,1545.8750272903692,1.0,1.9078786611557006
100000,7020.0,1873.0429786846855,1.0,1.8292450189590455
