num_atoms,budgets,budgets_std,accuracy,runtime
100,2385.0,302.00413904448396,1.0,0.8423072099685669
5357,5182.0,655.671869154076,1.0,0.11977953910827636
10615,6104.0,678.1359745655734,1.0,0.19578680992126465
15873,8074.0,514.2104627484742,1.0,0.2932182550430298
21131,6710.0,619.8854732932527,1.0,0.38776302337646484
26389,6379.0,633.8319177826247,1.0,0.48125834465026857
31647,8191.0,986.4912062456513,1.0,0.5814553022384643
36905,8051.0,806.6429817459518,1.0,0.6694393396377564
42163,10384.0,1029.9467947423304,1.0,0.7930824756622314
47421,12200.0,1167.4262289326894,1.0,0.9024888277053833
52678,8342.0,616.5156932309185,1.0,0.9772965669631958
57936,7817.0,313.58906230925845,1.0,1.060507869720459
63194,10239.0,852.0099177826512,1.0,1.2208388090133666
68452,8591.0,308.55939460661375,1.0,1.2655246019363404
73710,9128.0,237.0561115010537,1.0,1.5621293544769288
78968,9205.0,280.3649407468772,1.0,1.602123737335205
84226,8972.0,276.99386274789555,1.0,1.662363052368164
89484,9738.0,222.47157121753781,1.0,1.7205983877182007
94742,9570.0,330.0090907838752,1.0,1.9810899257659913
100000,10102.0,260.1991544951674,1.0,1.9048316717147826
