signal_sizes,budgets,budgets_std,accuracy,runtime
1000,24584.4,1965.7822463335049,0.2733333333333334,0.06985326608022055
2000,44846.8,8117.363227058402,0.26666666666666666,0.28964251677195235
3000,61342.86666666667,16123.159183264577,0.19333333333333336,0.686104702949524
4000,83110.2,24771.126424932718,0.21333333333333335,1.2938190380732217
5000,102376.26666666666,23165.735166308783,0.21333333333333337,1.8881343841552733
6000,117641.2,35898.44987034027,0.09333333333333332,2.75360701084137
7000,151011.8,23271.045141119033,0.26666666666666666,3.71465163230896
8000,166977.06666666668,24856.341080876908,0.12666666666666668,5.053263902664185
9000,183942.86666666667,51696.009245545785,0.2533333333333333,6.003544322649637
10000,209710.6,52829.96267308922,0.28,7.658752266565959
